,zip,city,state,latitude,longitude,timezone,dst
400,1432,Ayer,MA,42.54982,-71.59136,-5,1
401,1436,Baldwinville,MA,42.608902,-72.08021,-5,1
402,1438,East Templeton,MA,42.563366,-72.03498,-5,1
403,1440,Gardner,MA,42.575356,-71.99183,-5,1
404,1441,Gardner,MA,42.364807,-71.896866,-5,1
405,1450,Groton,MA,42.609886,-71.55722,-5,1
406,1451,Harvard,MA,42.505928,-71.5888,-5,1
407,1452,Hubbardston,MA,42.477516,-71.99654,-5,1
408,1453,Leominster,MA,42.526524,-71.75358,-5,1
409,1460,Littleton,MA,42.54005,-71.49085,-5,1
410,1462,Lunenburg,MA,42.58284,-71.72051,-5,1
411,1463,Pepperell,MA,42.665688,-71.5929,-5,1
412,1464,Shirley,MA,42.559288,-71.64555,-5,1
413,1467,Still River,MA,42.488667,-71.62412,-5,1
414,1468,Templeton,MA,42.557796,-72.06824,-5,1
415,1469,Townsend,MA,42.658737,-71.69204,-5,1
416,1470,Groton,MA,42.446396,-71.459404,-5,1
417,1471,Groton,MA,42.446396,-71.459404,-5,1
418,1472,West Groton,MA,42.446396,-71.459404,-5,1
419,1473,Westminster,MA,42.54462,-71.9021,-5,1
420,1474,West Townsend,MA,42.669407,-71.74578,-5,1
421,1475,Winchendon,MA,42.67544,-72.0467,-5,1
422,1477,Winchendon Springs,MA,42.364807,-71.896866,-5,1
423,1501,Auburn,MA,42.20361,-71.83843,-5,1
424,1503,Berlin,MA,42.38056,-71.62665,-5,1
425,1504,Blackstone,MA,42.02815,-71.52999,-5,1
426,1505,Boylston,MA,42.33839,-71.73026,-5,1
427,1506,Brookfield,MA,42.200375,-72.09787,-5,1
428,1507,Charlton,MA,42.135143,-71.96961,-5,1
429,1508,Charlton City,MA,42.10975,-72.07945,-5,1
430,1509,Charlton Depot,MA,42.364807,-71.896866,-5,1
431,1510,Clinton,MA,42.418835,-71.68482,-5,1
432,1515,East Brookfield,MA,42.212776,-72.05311,-5,1
433,1516,Douglas,MA,42.061436,-71.72887,-5,1
434,1517,East Princeton,MA,42.364807,-71.896866,-5,1
435,1518,Fiskdale,MA,42.12515,-72.12393,-5,1
436,1519,Grafton,MA,42.201675,-71.68771,-5,1
437,1520,Holden,MA,42.338963,-71.84434,-5,1
438,1521,Holland,MA,42.054676,-72.16137,-5,1
439,1522,Jefferson,MA,42.36966,-71.87418,-5,1
440,1523,Lancaster,MA,42.47313,-71.67946,-5,1
441,1524,Leicester,MA,42.23894,-71.91908,-5,1
442,1525,Linwood,MA,42.364807,-71.896866,-5,1
443,1526,Manchaug,MA,42.364807,-71.896866,-5,1
444,1527,Millbury,MA,42.196144,-71.76272,-5,1
445,1529,Millville,MA,42.036396,-71.57798,-5,1
446,1531,New Braintree,MA,42.31712,-72.12248,-5,1
447,1532,Northborough,MA,42.32192,-71.64692,-5,1
448,1534,Northbridge,MA,42.14074,-71.64376,-5,1
449,1535,North Brookfield,MA,42.267273,-72.07823,-5,1
450,1536,North Grafton,MA,42.231445,-71.70523,-5,1
451,1537,North Oxford,MA,42.170845,-71.88989,-5,1
452,1538,North Uxbridge,MA,42.364807,-71.896866,-5,1
453,1540,Oxford,MA,42.117527,-71.8657,-5,1
454,1541,Princeton,MA,42.45157,-71.882,-5,1
455,1542,Rochdale,MA,42.194794,-71.90651,-5,1
456,1543,Rutland,MA,42.38088,-71.96427,-5,1
457,1545,Shrewsbury,MA,42.286644,-71.72502,-5,1
458,1546,Shrewsbury,MA,42.364807,-71.896866,-5,1
459,1550,Southbridge,MA,42.070827,-72.03533,-5,1
460,1560,South Grafton,MA,42.177464,-71.69382,-5,1
461,1561,South Lancaster,MA,42.44354,-71.686134,-5,1
462,1562,Spencer,MA,42.24721,-71.99227,-5,1
463,1564,Sterling,MA,42.436874,-71.77333,-5,1
464,1566,Sturbridge,MA,42.10458,-72.08584,-5,1
465,1568,Upton,MA,42.17382,-71.60971,-5,1
466,1569,Uxbridge,MA,42.06498,-71.62992,-5,1
467,1570,Webster,MA,42.04773,-71.86108,-5,1
468,1571,Dudley,MA,42.049866,-71.9173,-5,1
469,1580,Westborough,MA,42.364807,-71.896866,-5,1
470,1581,Westborough,MA,42.269844,-71.61408,-5,1
471,1582,Westborough,MA,42.364807,-71.896866,-5,1
472,1583,West Boylston,MA,42.35984,-71.787,-5,1
473,1585,West Brookfield,MA,42.242966,-72.16734,-5,1
474,1586,West Millbury,MA,42.364807,-71.896866,-5,1
